type,region,thread,data
bbv,0,0,1,1,24,24,24,3083149,23,23,23,23,1507328,1507328,1184063,90,90,66,52
csv,0,0,36,76,396527333,396527356,396528064,400000013,386034219,386034279,396527243,396527312,396527036,396527196,396527114,396527997,396528029,396527923,396528014
bb_id,0,0,23,24,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,0,1,1,1,31,31,31,4063232,31,31,30,30,1974798,1974797,1550183,465,465,434,106
csv,0,1,1238,1484,393625802,393625828,393627886,398933511,398933525,398933625,393625731,393625778,399999968,399999913,400000002,393627741,393627811,393627699,393627752
bb_id,0,1,23,24,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,0,2,1,1,23,23,23,3014656,23,23,22,22,1447070,1447069,1137347,368,368,345,71
csv,0,2,72,90,392032427,392032466,392035364,399155266,399155280,399155328,392032320,392032388,400000027,399999954,399999728,392035211,392035305,392035161,392035240
bb_id,0,2,23,24,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,0,3,1,1,28,28,28,3631683,27,27,27,27,1769472,1769472,1388210,448,448,420,120
csv,0,3,23831978,23832041,396311924,396311936,396313846,400000038,387836558,387836619,396311848,396311862,396311736,396311811,396311795,396313726,396313833,396313707,396313770
bb_id,0,3,23,24,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,1,0,23,23,23,3020230,23,23,23,23,1507328,1507328,1183542,130,130,107,71
csv,1,0,396077227,396077286,396078295,400000017,385703262,385703286,396077079,396077128,396076989,396077053,396076755,396078152,396078279,396078114,396078217
bb_id,1,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,1,1,29,29,29,3801088,29,29,29,29,1907363,1907363,1498512,435,435,406,126
csv,1,1,392647689,392647695,392649446,398083599,398083618,398083630,392647573,392647640,399999995,399999922,400000045,392649304,392649369,392649232,392649351
bb_id,1,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,1,2,22,22,22,2883584,22,22,22,22,1468087,1468088,1152581,352,352,330,89
csv,1,2,387528339,387528398,387531200,394969882,394969924,394969980,387528195,387528274,399999936,400000022,399999970,387531010,387531148,387530947,387531089
bb_id,1,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,1,3,29,29,29,3802020,29,29,29,29,1900544,1900544,1491898,464,464,435,153
csv,1,3,396164534,396164580,396166536,400000006,387834550,387834565,396164485,396164513,396164375,396164471,396164455,396166454,396166523,396166419,396166471
bb_id,1,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,2,0,23,23,23,3029604,23,23,23,23,1507328,1507328,1183117,144,144,121,82
csv,2,0,395271477,395271545,395272760,400000007,384856127,384856139,395271347,395271423,395271208,395271303,395271284,395272588,395272708,395272527,395272642
bb_id,2,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,2,1,29,29,29,3801088,29,29,29,29,1901999,1901999,1494609,435,435,406,128
csv,2,1,392402696,392402716,392404466,397910983,397910997,397911023,392402618,392402644,399999973,399999948,400000046,392404407,392404450,392404339,392404418
bb_id,2,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,2,2,22,22,22,2883584,22,22,22,22,1471409,1471409,1155885,352,352,330,104
csv,2,2,382801767,382801779,382804417,390028522,390028604,390028619,382801710,382801724,399999932,400000012,399999996,382804218,382804360,382804144,382804301
bb_id,2,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,2,3,29,29,29,3798030,29,29,29,29,1900544,1900544,1492014,464,464,435,158
csv,2,3,396273603,396273629,396275544,400000023,387810254,387810278,396273538,396273582,396273391,396273486,396273470,396275447,396275495,396275394,396275464
bb_id,2,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,3,0,23,23,23,3027401,23,23,23,23,1507328,1507328,1183806,161,161,138,83
csv,3,0,394715430,394715481,394716685,400000017,384154474,384154513,394715305,394715356,394715205,394715288,394715251,394716539,394716647,394716501,394716559
bb_id,3,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,3,1,29,29,29,3801088,29,29,29,29,1907473,1907474,1497488,435,435,406,151
csv,3,1,391634999,391635028,391637036,397155318,397155354,397155366,391634930,391634975,399999928,400000022,399999984,391636902,391636973,391636847,391636964
bb_id,3,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,3,2,23,23,23,2955351,22,22,23,23,1446138,1446138,1135410,368,368,345,101
csv,3,2,396154850,396154892,396157709,400000006,385278543,385278597,396154718,396154784,396154669,396154685,396154603,396157525,396157646,396157467,396157590
bb_id,3,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,3,3,29,29,29,3795337,29,29,29,29,1900544,1900544,1493254,464,464,435,178
csv,3,3,396576206,396576218,396578016,400000033,388136322,388136346,396576160,396576174,396576052,396576146,396576108,396577949,396578003,396577908,396577988
bb_id,3,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,4,0,23,23,23,3021173,23,23,23,23,1507328,1507328,1183914,161,161,138,96
csv,4,0,394355871,394355930,394357283,400000041,383857263,383857278,394355786,394355850,394355703,394355753,394355737,394357115,394357222,394357096,394357191
bb_id,4,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,4,1,29,29,29,3801088,29,29,29,29,1906189,1906188,1497738,435,435,406,140
csv,4,1,391029553,391029628,391031587,396459460,396459507,396459519,391029493,391029538,400000005,399999980,399999948,391031444,391031580,391031389,391031511
bb_id,4,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,4,2,22,22,22,2942889,23,23,22,22,1448782,1448781,1137823,352,352,330,115
csv,4,2,391740744,391740827,391743426,398864514,398864567,398864649,391740685,391740729,400000030,399999964,399999914,391743284,391743374,391743262,391743338
bb_id,4,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,4,3,29,29,29,3806612,29,29,29,29,1900544,1900544,1492917,464,464,435,175
csv,4,3,396298672,396298728,396300532,400000016,388013272,388013278,396298615,396298651,396298518,396298601,396298552,396300465,396300519,396300424,396300482
bb_id,4,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,5,0,23,23,23,3016170,23,23,23,23,1507328,1507328,1183651,172,172,149,92
csv,5,0,394094515,394094554,394095740,400000028,383814794,383814800,394094369,394094419,394094191,394094328,394094275,394095643,394095727,394095624,394095685
bb_id,5,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,5,1,29,29,29,3801088,29,29,29,29,1907295,1907296,1497738,435,435,406,149
csv,5,1,390019081,390019087,390020781,395512482,395512508,395512514,390019024,390019041,399999919,400000006,399999953,390020702,390020765,390020655,390020731
bb_id,5,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,5,2,22,22,22,2883584,22,22,22,22,1468599,1468599,1153426,352,352,330,115
csv,5,2,387234278,387234341,387237165,394553455,394553510,394553558,387234210,387234227,399999967,399999894,400000001,387236959,387237074,387236876,387237029
bb_id,5,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,5,3,29,29,29,3803040,29,29,29,29,1900544,1900544,1492747,464,464,435,170
csv,5,3,396133406,396133471,396135398,400000017,387940414,387940438,396133340,396133382,396133226,396133289,396133270,396135303,396135348,396135272,396135314
bb_id,5,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,6,0,23,23,23,3035937,24,24,23,23,1516360,1516359,1190773,184,184,161,89
csv,6,0,391705334,391705349,391706548,398560237,398560295,398560307,391705266,391705319,400000030,399999948,399999888,391706392,391706502,391706331,391706439
bb_id,6,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,6,1,30,30,30,3801893,29,29,30,30,1929763,1929763,1516359,450,450,420,163
csv,6,1,399964927,399964958,399966813,400000016,391980785,391980811,399964838,399964912,399964693,399964794,399964784,399966689,399966729,399966676,399966711
bb_id,6,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,6,2,22,22,22,2883584,22,22,22,22,1408083,1408084,1106421,352,352,330,101
csv,6,2,392841177,392841189,392844234,399984822,399984903,399984986,392841020,392841072,399999943,400000035,399999971,392844044,392844170,392843965,392844099
bb_id,6,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,6,3,29,29,29,3839822,30,30,29,29,1911820,1911819,1501207,464,464,435,189
csv,6,3,393229456,393229498,393231256,398546662,398546701,398546707,393229384,393229401,399999918,399999893,400000005,393231147,393231227,393231134,393231200
bb_id,6,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,7,0,23,23,23,3014656,23,23,23,23,1510733,1510733,1187065,184,184,161,99
csv,7,0,391056773,391056810,391057953,397996872,397996880,397996940,391056699,391056752,400000039,399999977,399999813,391057833,391057913,391057814,391057898
bb_id,7,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,7,1,29,29,29,3818866,29,29,29,29,1900544,1900544,1492934,435,435,406,170
csv,7,1,399195369,399195393,399197416,400000025,391101413,391101419,399195258,399195299,399195162,399195232,399195199,399197319,399197367,399197297,399197358
bb_id,7,1,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,7,2,22,22,22,2883584,22,22,22,22,1469190,1469189,1153281,352,352,330,113
csv,7,2,388312651,388312725,388315530,395531424,395531497,395531561,388312583,388312591,399999991,399999917,400000062,388315446,388315523,388315388,388315496
bb_id,7,2,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,7,3,29,29,29,3801088,29,29,29,29,1898151,1898151,1491668,464,464,435,197
csv,7,3,393422410,393422434,393424446,398849289,398849385,398849452,393422331,393422348,399999961,399999936,400000014,393424323,393424403,393424282,393424343
bb_id,7,3,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
bbv,8,0,23,23,23,3014656,23,23,23,23,1509569,1509569,1185821,184,184,161,104
csv,8,0,390586932,390587000,390588327,397691097,397691178,397691193,390586853,390586911,400000056,399999980,399999970,390588251,390588314,390588232,390588268
bb_id,8,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64
